
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=3.309995e+01 cycle=0 time=0.000000e+00 dt=5.446383e-02
elapsed=4.461154e+02 cycle=1000 time=5.446383e-02 dt=4.902203e-22
elapsed=8.593346e+02 cycle=2000 time=5.446383e-02 dt=6.967988e-22
elapsed=1.271215e+03 cycle=3000 time=5.446383e-02 dt=7.388772e-22
elapsed=1.681531e+03 cycle=4000 time=5.446383e-02 dt=8.106412e-22
elapsed=2.092466e+03 cycle=5000 time=5.446383e-02 dt=8.721047e-22
elapsed=2.503578e+03 cycle=6000 time=5.446383e-02 dt=9.333851e-22
elapsed=2.915740e+03 cycle=7000 time=5.446383e-02 dt=9.629999e-22
elapsed=3.328071e+03 cycle=8000 time=5.446383e-02 dt=1.008244e-21
elapsed=3.738830e+03 cycle=9000 time=5.446383e-02 dt=1.027546e-21
elapsed=4.149234e+03 cycle=10000 time=5.446383e-02 dt=9.702933e-22
elapsed=4.559849e+03 cycle=11000 time=5.446383e-02 dt=9.034554e-22
elapsed=4.970375e+03 cycle=12000 time=5.446383e-02 dt=8.542481e-22
elapsed=5.381198e+03 cycle=13000 time=5.446383e-02 dt=8.227630e-22
elapsed=5.792420e+03 cycle=14000 time=5.446383e-02 dt=8.428773e-22
elapsed=6.203675e+03 cycle=15000 time=5.446383e-02 dt=9.082611e-22
elapsed=6.614495e+03 cycle=16000 time=5.446383e-02 dt=8.978243e-22
elapsed=7.025203e+03 cycle=17000 time=5.446383e-02 dt=8.107247e-22
elapsed=7.436057e+03 cycle=18000 time=5.446383e-02 dt=7.421587e-22
elapsed=7.847466e+03 cycle=19000 time=5.446383e-02 dt=7.081528e-22
elapsed=8.258812e+03 cycle=20000 time=5.446383e-02 dt=6.012254e-22
elapsed=8.670168e+03 cycle=21000 time=5.446383e-02 dt=5.751763e-22
elapsed=9.082027e+03 cycle=22000 time=5.446383e-02 dt=4.941907e-22
elapsed=9.493227e+03 cycle=23000 time=5.446383e-02 dt=4.712761e-22
elapsed=9.904634e+03 cycle=24000 time=5.446383e-02 dt=4.937009e-22
elapsed=1.031708e+04 cycle=25000 time=5.446383e-02 dt=5.112607e-22
elapsed=1.072981e+04 cycle=26000 time=5.446383e-02 dt=5.303811e-22
elapsed=1.114260e+04 cycle=27000 time=5.446383e-02 dt=5.272368e-22
elapsed=1.155609e+04 cycle=28000 time=5.446383e-02 dt=5.619147e-22
elapsed=1.197000e+04 cycle=29000 time=5.446383e-02 dt=5.195040e-22
elapsed=1.238412e+04 cycle=30000 time=5.446383e-02 dt=4.319892e-22
elapsed=1.279791e+04 cycle=31000 time=5.446383e-02 dt=4.987175e-22
elapsed=1.321090e+04 cycle=32000 time=5.446383e-02 dt=5.273067e-22
elapsed=1.362241e+04 cycle=33000 time=5.446383e-02 dt=5.742164e-22
elapsed=1.403338e+04 cycle=34000 time=5.446383e-02 dt=6.055686e-22
elapsed=1.444415e+04 cycle=35000 time=5.446383e-02 dt=6.175766e-22
