
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=3.424465e+00 cycle=0 time=0.000000e+00 dt=4.905057e-03
elapsed=4.511287e+02 cycle=1000 time=5.171258e-03 dt=2.365769e-35
elapsed=8.977698e+02 cycle=2000 time=5.171258e-03 dt=1.937360e-35
elapsed=1.344316e+03 cycle=3000 time=5.171258e-03 dt=2.096344e-35
elapsed=1.790824e+03 cycle=4000 time=5.171258e-03 dt=2.682530e-35
elapsed=2.237053e+03 cycle=5000 time=5.171258e-03 dt=3.312559e-35
elapsed=2.683195e+03 cycle=6000 time=5.171258e-03 dt=4.336813e-35
elapsed=3.129314e+03 cycle=7000 time=5.171258e-03 dt=6.189091e-35
elapsed=3.575499e+03 cycle=8000 time=5.171258e-03 dt=9.033194e-35
elapsed=4.021757e+03 cycle=9000 time=5.171258e-03 dt=1.175379e-34
elapsed=4.467944e+03 cycle=10000 time=5.171258e-03 dt=1.886828e-34
elapsed=4.913433e+03 cycle=11000 time=5.171258e-03 dt=4.554255e-34
elapsed=5.357778e+03 cycle=12000 time=5.171258e-03 dt=9.360503e-34
elapsed=5.804252e+03 cycle=13000 time=5.171258e-03 dt=2.250868e-33
elapsed=6.255204e+03 cycle=14000 time=5.171258e-03 dt=2.586857e-33
elapsed=6.705435e+03 cycle=15000 time=5.171258e-03 dt=2.941081e-33
elapsed=7.152518e+03 cycle=16000 time=5.171258e-03 dt=3.759848e-33
elapsed=7.600508e+03 cycle=17000 time=5.171258e-03 dt=4.667674e-33
elapsed=8.046547e+03 cycle=18000 time=5.171258e-03 dt=1.965117e-32
elapsed=8.490167e+03 cycle=19000 time=5.171258e-03 dt=5.268811e-32
elapsed=8.933948e+03 cycle=20000 time=5.171258e-03 dt=1.174236e-31
elapsed=9.377739e+03 cycle=21000 time=5.171258e-03 dt=2.774245e-31
elapsed=9.821801e+03 cycle=22000 time=5.171258e-03 dt=5.441689e-31
elapsed=1.026611e+04 cycle=23000 time=5.171258e-03 dt=9.262930e-31
elapsed=1.071053e+04 cycle=24000 time=5.171258e-03 dt=1.212037e-30
elapsed=1.115504e+04 cycle=25000 time=5.171258e-03 dt=1.662960e-30
elapsed=1.159973e+04 cycle=26000 time=5.171258e-03 dt=2.137538e-30
elapsed=1.204453e+04 cycle=27000 time=5.171258e-03 dt=2.768585e-30
elapsed=1.248953e+04 cycle=28000 time=5.171258e-03 dt=3.804396e-30
elapsed=1.293459e+04 cycle=29000 time=5.171258e-03 dt=4.244801e-30
elapsed=1.337979e+04 cycle=30000 time=5.171258e-03 dt=4.642987e-30
elapsed=1.382504e+04 cycle=31000 time=5.171258e-03 dt=5.289494e-30
elapsed=1.427019e+04 cycle=32000 time=5.171258e-03 dt=6.378236e-30
elapsed=1.471519e+04 cycle=33000 time=5.171258e-03 dt=8.989400e-30
elapsed=1.516009e+04 cycle=34000 time=5.171258e-03 dt=1.300216e-29
elapsed=1.560469e+04 cycle=35000 time=5.171258e-03 dt=1.756817e-29
elapsed=1.604912e+04 cycle=36000 time=5.171258e-03 dt=2.396931e-29
elapsed=1.649347e+04 cycle=37000 time=5.171258e-03 dt=3.454211e-29
elapsed=1.693787e+04 cycle=38000 time=5.171258e-03 dt=4.186708e-29
elapsed=1.738234e+04 cycle=39000 time=5.171258e-03 dt=4.880297e-29
elapsed=1.782686e+04 cycle=40000 time=5.171258e-03 dt=7.057508e-29
elapsed=1.827133e+04 cycle=41000 time=5.171258e-03 dt=1.064404e-28
elapsed=1.871587e+04 cycle=42000 time=5.171258e-03 dt=1.223874e-28
elapsed=1.916057e+04 cycle=43000 time=5.171258e-03 dt=1.344938e-28
elapsed=1.960526e+04 cycle=44000 time=5.171258e-03 dt=1.384676e-28
elapsed=2.005000e+04 cycle=45000 time=5.171258e-03 dt=1.397495e-28
elapsed=2.049474e+04 cycle=46000 time=5.171258e-03 dt=1.431343e-28
elapsed=2.093944e+04 cycle=47000 time=5.171258e-03 dt=1.465273e-28
elapsed=2.138414e+04 cycle=48000 time=5.171258e-03 dt=1.494227e-28
elapsed=2.182886e+04 cycle=49000 time=5.171258e-03 dt=1.525464e-28
elapsed=2.227356e+04 cycle=50000 time=5.171258e-03 dt=1.563814e-28
elapsed=2.271825e+04 cycle=51000 time=5.171258e-03 dt=1.617097e-28
elapsed=2.316295e+04 cycle=52000 time=5.171258e-03 dt=1.677433e-28
elapsed=2.360761e+04 cycle=53000 time=5.171258e-03 dt=1.717631e-28
elapsed=2.405231e+04 cycle=54000 time=5.171258e-03 dt=1.739489e-28
