
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=3.542229e+00 cycle=0 time=0.000000e+00 dt=5.670273e-03
elapsed=4.524078e+02 cycle=1000 time=5.672186e-03 dt=1.349330e-12
elapsed=9.005290e+02 cycle=2000 time=5.672188e-03 dt=1.675203e-12
elapsed=1.347968e+03 cycle=3000 time=5.672190e-03 dt=3.157150e-12
elapsed=1.794925e+03 cycle=4000 time=5.672194e-03 dt=4.816081e-12
elapsed=2.242292e+03 cycle=5000 time=5.672203e-03 dt=7.518800e-12
elapsed=2.692448e+03 cycle=6000 time=5.672215e-03 dt=1.334996e-11
elapsed=3.144258e+03 cycle=7000 time=5.672232e-03 dt=2.277370e-11
elapsed=3.593355e+03 cycle=8000 time=5.672263e-03 dt=3.782512e-11
elapsed=4.042123e+03 cycle=9000 time=5.672300e-03 dt=4.083352e-11
elapsed=4.490733e+03 cycle=10000 time=5.672345e-03 dt=5.714232e-11
elapsed=4.938651e+03 cycle=11000 time=5.672418e-03 dt=8.161149e-11
elapsed=5.385800e+03 cycle=12000 time=5.672502e-03 dt=8.989349e-11
elapsed=5.832646e+03 cycle=13000 time=5.672598e-03 dt=9.999920e-11
elapsed=6.279420e+03 cycle=14000 time=5.672705e-03 dt=1.129642e-10
